datetime,user_id,province
2021-12-31 23:00:00,3,Bangkok
2021-12-31 23:00:00,3,Samut Sakhon
2022-01-01 07:00:00,3,Ratchaburi
2022-01-01 08:00:00,3,Ratchaburi
2022-01-01 13:00:00,3,Chiang Mai
2022-01-01 14:00:00,3,Lamphun
2022-01-01 19:00:00,3,Chiang Mai
2022-01-01 23:00:00,3,Chiang Rai
2022-01-02 07:00:00,3,Phayao
2022-01-02 15:00:00,3,Lampang
2022-01-02 16:00:00,3,Phrae
2021-10-14 19:00:00,4,Chai Nat
2021-10-15 03:00:00,4,Sing Buri
2021-10-15 09:00:00,4,Nakhon Sawan
2021-10-15 15:00:00,4,Chai Nat
2021-10-15 16:00:00,4,Suphan Buri
2021-10-15 21:00:00,4,Chai Nat
2021-12-16 08:00:00,4,Chai Nat
2021-12-16 13:00:00,4,Suphan Buri
2021-12-16 23:00:00,4,Nakhon Pathom
2021-12-17 06:00:00,4,Chai Nat
2021-12-25 20:00:00,4,Chai Nat
2021-12-26 06:00:00,4,Sing Buri
2021-12-26 11:00:00,4,Chai Nat
2021-12-28 16:00:00,4,Chai Nat
2021-12-28 18:00:00,4,Sing Buri
2021-12-29 09:00:00,4,Chai Nat
2021-12-30 17:00:00,4,Chai Nat
2021-12-30 19:00:00,4,Nakhon Sawan
2021-12-30 21:00:00,4,Chai Nat
2021-12-31 05:00:00,4,Nakhon Sawan
2021-12-31 11:00:00,4,Phichit
2021-12-31 19:00:00,4,Nakhon Sawan
2022-01-01 03:00:00,4,Chai Nat
2022-01-02 20:00:00,4,Chai Nat
2022-01-02 22:00:00,4,Sing Buri
2022-01-03 08:00:00,4,Chai Nat
2021-01-02 16:00:00,5,Lampang
2021-01-02 23:00:00,5,Phayao
2021-01-03 01:00:00,5,Lampang
2021-01-03 05:00:00,5,Chiang Rai
2021-01-03 11:00:00,5,Phrae
2021-09-07 12:00:00,6,Nakhon Pathom
2021-09-07 19:00:00,6,Samut Prakan
2021-09-08 09:00:00,6,Nakhon Pathom
2021-09-09 11:00:00,6,Nakhon Pathom
